port,iteration,duration_sec,ts_utc
8105,1,0.009355809539556503,2025-05-31T13:00:23.331146
8111,1,0.009305916726589203,2025-05-31T13:00:23.331165
8114,1,0.009536277502775192,2025-05-31T13:00:23.332020
8102,1,0.009863817133009434,2025-05-31T13:00:23.332032
8104,1,0.010359750129282475,2025-05-31T13:00:23.332292
8110,1,0.010196021758019924,2025-05-31T13:00:23.332300
8107,1,0.01034147571772337,2025-05-31T13:00:23.332305
8103,1,0.009993213228881359,2025-05-31T13:00:23.332311
8101,1,0.010315528139472008,2025-05-31T13:00:23.332316
8100,1,0.010211937129497528,2025-05-31T13:00:23.332321
8112,1,0.01010979525744915,2025-05-31T13:00:23.332326
8115,1,0.009306852705776691,2025-05-31T13:00:23.332847
8109,1,0.010938133113086224,2025-05-31T13:00:23.332855
8113,1,0.009225651621818542,2025-05-31T13:00:23.332862
8106,1,0.010795037262141705,2025-05-31T13:00:23.332867
8108,1,0.011424833908677101,2025-05-31T13:00:23.332873
8111,2,0.015875134617090225,2025-05-31T13:00:23.349060
8105,2,0.016392682678997517,2025-05-31T13:00:23.350180
8114,2,0.016970454715192318,2025-05-31T13:00:23.351462
8102,2,0.016932531259953976,2025-05-31T13:00:23.351484
8104,2,0.01676193717867136,2025-05-31T13:00:23.351495
8110,2,0.016724086366593838,2025-05-31T13:00:23.351505
8107,2,0.017682121135294437,2025-05-31T13:00:23.352183
8103,2,0.017653245478868484,2025-05-31T13:00:23.352200
8112,2,0.01750584226101637,2025-05-31T13:00:23.352210
8101,2,0.017647757194936275,2025-05-31T13:00:23.352220
8100,2,0.017616157419979572,2025-05-31T13:00:23.352230
8115,2,0.018502838909626007,2025-05-31T13:00:23.353006
8106,2,0.018238321878015995,2025-05-31T13:00:23.353022
8113,2,0.01834112498909235,2025-05-31T13:00:23.353033
8108,2,0.01822054013609886,2025-05-31T13:00:23.353044
8109,2,0.01855416689068079,2025-05-31T13:00:23.353054
8111,3,0.014952810481190681,2025-05-31T13:00:23.365480
8105,3,0.015030287206172943,2025-05-31T13:00:23.367747
8114,3,0.014594534412026405,2025-05-31T13:00:23.367762
8102,3,0.014500622637569904,2025-05-31T13:00:23.367770
8104,3,0.014673360623419285,2025-05-31T13:00:23.368341
8107,3,0.015378561802208424,2025-05-31T13:00:23.368517
8103,3,0.01525571383535862,2025-05-31T13:00:23.368526
8112,3,0.015164660289883614,2025-05-31T13:00:23.368532
8115,3,0.014224040322005749,2025-05-31T13:00:23.368539
8101,3,0.01509904209524393,2025-05-31T13:00:23.368545
8100,3,0.01501160953193903,2025-05-31T13:00:23.368551
